"Título","Actividad","Temática","Dirección","Teléfono","e-mail","Web","Otros","UAP","Tipo de recurso","Población diana","Zona Accción","Dirección: coordenadas","Modificado por"
"Basoa","Proyecto comunitario que impulsa iniciativas y actividades especialmente ligadas a la solidaridad con las personas migrantes y refugiadas, así como activistas provenientes de diferentes movimientos sociales.","[""Personas migrantes"",""Salud comunitaria"",""Personas en riesgo de exclusión social""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x4523836346972877606?setLang=es-ES"",""DisplayName"":""Basoa"",""Address"":{""Street"":""Bildosola auzoa, 12"",""City"":""Gautegiz Arteaga"",""State"":""Vizcaya"",""CountryOrRegion"":""España"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1446,""Longitude"":-2.78673}}",,"info@basoa.eus","https://basoa.eus/es/",,"[""Arratia""]","[""Proyecto Comunitario""]",,"Local","Point (-2.78673 43.1446)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Amorebieta-Etxano - Igualdad",,"[""Mujeres"",""Personas en riesgo de exclusión social"",""Género e identidad""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Nafarroa+Kalea&locality=Amorebieta-Etxano&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48340&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Nafarroa Kalea"",""Address"":{""Street"":""Nafarroa Kalea"",""City"":""Amorebieta-Etxano"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48340"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}",,,,,"[""Amorebieta""]","[""Institucion""]",,"Local",,"CESAR ENRIQUE PINARGOTE GAVILANES"
"Uxu-Ondarroako Emakumeen taldea","Lucha por los derechos de las mujeres No padecer violencia machista por el hecho de ser mujer, pobreza, paro, menores salarios, exclusión de los espacios de decisión, doble jornada... Participa en la comisisión de mujeres de Ondarroako Udala","[""Mujeres""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x17547352611512502141?setLang=es-ES"",""DisplayName"":""ETXELILA"",""Address"":{""Street"":""Artibai kalea, 3-1. pisua"",""City"":""Ondárroa"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3192,""Longitude"":-2.42519}}",,,," Reunión los viernes en 3a planta Ayuntamiento viejo.

Jornadas y exposición de mujeres artitas en torno al 8M, 28J, 25N","[""Ondarroa""]","[""Asociación""]",,"Local","Point (-2.42519 43.3192)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Andrabanda Feminista","Reivindicar acciones feministas y hacer aportaciones en la lucha contra la violencai machista a través de la percusión y las canciones.","[""Mujeres""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x17547352611512502141?setLang=es-ES"",""DisplayName"":""ETXELILA"",""Address"":{""Street"":""Artibai kalea, 3-1. pisua"",""City"":""Ondárroa"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3192,""Longitude"":-2.42519}}",,,,,"[""Ondarroa""]","[""Asociación""]",,"Local","Point (-2.42519 43.3192)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Ondarroa - Deporte","Preparar y organizar la programación cultural y deportiva anual.","[""Actividad física""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x946234116355623478?setLang=es-ES"",""DisplayName"":""Ayuntamiento De Ondarroa - Centralita"",""Address"":{""Street"":""Musika Enparantza, S/n Bajo"",""City"":""Bizkaia"",""State"":""Vizcaya"",""CountryOrRegion"":""España"",""PostalCode"":""48700"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3214,""Longitude"":-2.42109}}","946.833.669","kulturaetakirola@ondarroa.eus","https://www.ondarroa.eus/es-ES/Servicios/Interno/Deportes/Paginas/default.aspx","Gestiona GuzurEtxea
Preparar y organizar la programación cultural y deportiva anual.
Preparar la programación de las fiestas locales.
Tramitar las solicitudes para la utilización de la sala de exposiciones municipal así como la sala de conferencias.
Tramitar las solicitudes para la utilización de locales municipales.
Tramitar las infraestructuras y subvenciones solicitadas por los grupos deportivos y culturales locales.","[""Ondarroa""]","[""Institucion""]",,,"Point (-2.42109 43.3214)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Ondarroa - Cultura","Preparar y organizar la programación cultural y deportiva anual.","[""Cultura, ocio y naturaleza""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x946234116355623478?setLang=es-ES"",""DisplayName"":""Ayuntamiento De Ondarroa - Centralita"",""Address"":{""Street"":""Musika Enparantza, S/n Bajo"",""City"":""Bizkaia"",""State"":""Vizcaya"",""CountryOrRegion"":""España"",""PostalCode"":""48700"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3214,""Longitude"":-2.42109}}","946.833.669","kulturaetakirola@ondarroa.eus","https://www.ondarroa.eus/es-ES/Servicios/Interno/Kultura/Paginas/default.aspx","Gestiona Txomin Agirre Udal Liburutegia
Preparar y organizar la programación cultural y deportiva anual.
Preparar la programación de las fiestas locales.
Tramitar las solicitudes para la utilización de la sala de exposiciones municipal así como la sala de conferencias.
Tramitar las solicitudes para la utilización de locales municipales.
Tramitar las infraestructuras y subvenciones solicitadas por los grupos deportivos y culturales locales.","[""Ondarroa""]","[""Institucion""]",,,"Point (-2.42109 43.3214)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Ondarroa - Igualdad","Fomentar políticas de igualdad","[""Mujeres"",""Hombres"",""Escuela de Salud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x946234116355623478?setLang=es-ES"",""DisplayName"":""Ayuntamiento De Ondarroa - Centralita"",""Address"":{""Street"":""Musika Enparantza, S/n Bajo"",""City"":""Bizkaia"",""State"":""Vizcaya"",""CountryOrRegion"":""España"",""PostalCode"":""48700"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3214,""Longitude"":-2.42109}}","946.134.008","rbaltar@ondarroa.eus","https://www.ondarroa.eus/es-ES/Servicios/Interno/Igualdad/Paginas/default.aspx","Etxelila
Nuevo acuerdo institucional.
Proyecto de Coeducación (Intinerario formativo desde LH5 hasta Bach)
VG, sexualidad, roles de género, pedagogía. Devolución a falmilias y profesorado
Escuela de empoderamiento","[""Ondarroa""]","[""Institucion""]",,,"Point (-2.42109 43.3214)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Arringaingan","Punto de encuentro con el objetivo de superar todos los miedos y vergüenzas en la calle. Fomentando las relaciones entre los participantes","[""Mujeres""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x17547352611512502141?setLang=es-ES"",""DisplayName"":""ETXELILA"",""Address"":{""Street"":""Artibai kalea, 3-1. pisua"",""City"":""Ondárroa"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3192,""Longitude"":-2.42519}}","946.134.008",,,"Pautas de entrenamiento en función de sus capacidades para avanzar a ritmos (grupos en función del nivel)  Triathlon de mujeres","[""Ondarroa""]","[""Asociación""]",,,"Point (-2.42519 43.3192)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Etxelila Ondarruko Emakumin",,"[""Mujeres"",""Salud sexual y reproductiva"",""Formación""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x17547352611512502141?setLang=es-ES"",""DisplayName"":""ETXELILA"",""Address"":{""Street"":""Artibai kalea, 3-1. pisua"",""City"":""Ondárroa"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3192,""Longitude"":-2.42519}}","664.547.367","etxelila@ondarroa.eus","https://www.ondarroa.eus/es-ES/Servicios/Interno/Igualdad/Paginas/Etxelila.aspx",,"[""Ondarroa""]","[""Institucion""]",,,"Point (-2.42519 43.3192)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Sociedad Artística Cultural","La SACZ está abierta a apoyar iniciativas culturales de terceros y cuenta con unos locales abiertos a toda aquella persona que necesite de un espacio para la realización de actividades culturales","[""Población general"",""Juventud"",""Mujeres"",""Hombres"",""Personas Mayores"",""Personas en riesgo de exclusión social"",""Salud mental/Bienestar emocional"",""Enfermedades crónicas"",""Salud sexual y reproductiva""]",,,,,,"[""Amorebieta""]",,,,,"CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Amorebieta-Etxano",,"[""Población general""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x4256119522615745653?setLang=es-ES"",""DisplayName"":""AYUNTAMIENTO DE AMOREBIETA-ETXNO"",""Address"":{""Street"":""Pl. Herriko, s/n"",""City"":""Amorebieta-Etxano"",""State"":""Vizcaya"",""CountryOrRegion"":""España"",""PostalCode"":""48340"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2204,""Longitude"":-2.73231}}","9.463.000.002","haz@amorebieta.eus","https://amorebieta-etxano.eus/es/",,"[""Amorebieta""]",,,,"Point (-2.73231 43.2204)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Orduña - Cultura",,"[""Cultura, ocio y naturaleza""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Foru Enparantza, 1 Bajo;estanco, 48460, Bizkaia (País Vasco)"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","945.383.003","kultura@urduna.com",,,"[""Aiara""]",,,,,"ANDREA ALVAREZ MARTINEZ"
"Asociación de Jubilados de Orduña","Desarrollar y fomentar la convivencia entre las personas de la tercera edad. Estudiar las necesidades de estas personas, culturales y recreativas adecuadas a sus necesidades.","[""Personas Mayores""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Foru Plaza, 9 bajo"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","637.015.249","ordunajubilados@yahoo.es",,,"[""Aiara""]",,,,,"ANDREA ALVAREZ MARTINEZ"
"LORALDI","ASOCIACIÓN DE MUJERES EN ORDUÑA","[""Mujeres"",""Salud mental/Bienestar emocional""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Calle+de+la+Gran+V%c3%ada%2c+12&locality=Ordu%c3%b1a&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48460&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Calle de la Gran Vía, 12"",""Address"":{""Street"":""Calle de la Gran Vía, 12"",""City"":""Orduña"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48460"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","653.700.679","encarni.cano@hotmail.com",,,"[""Aiara""]",,,,,"ANDREA ALVAREZ MARTINEZ"
"Sartu Álava","Sartu-Álava somos una entidad no lucrativa cuya finalidad es la lucha contra la exclusión social desde una óptica de servicio público y en red con los recursos","[""Mujeres"",""Personas migrantes"",""Personas en riesgo de exclusión social""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Katuja-Ibarra Bidea, 15 bis, 01400 Laudio, Araba"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}",,,,"Rocio (Llodio) 658757860","[""Aiara"",""Llodio""]",,,,,"ANDREA ALVAREZ MARTINEZ"
"AURRERAKA","El fin primordial de la Asociación será tratar de impulsar y promover las condiciones que posibiliten la igualdad de ambos sexos y la participación de la mujer en la vida cultural, política y social. - Coordinación y colaboración con autoridades municipal","[""Mujeres""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Landako, 8, Amurrio"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","688.716.252","amaurreraka@gmail.com",,,"[""Aiara""]",,,,,"ANDREA ALVAREZ MARTINEZ"
"Berritzegunea de Gernika-Lumo","Grupo de apoyo en el área pedagógica y de material para los centros educativos de Busturialde y Lea –Artibai.","[""Formación"",""Ocupación/inserción laboral""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Adolfo Urioste, 7 48300 Gernika"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.253.546"," b10gernika@berritzeguneak.eus","http://b10.berritzeguneak.net/eu/",,"[""Gernika"",""Gernikaldea""]",,,,,"MARINA CIFUENTES GARCIA"
"Ayuntamiento de Gernika-Lumo - Igualdad","Actividades dirigidas a mejorar la calidad de vida de las mujeres del municipio.
Programas para impulsar la Igualdad de Oportunidades: utilización no sexista del lenguaje, coeducación, campañas de sensibilización…
Asesoramiento psicológico.
Material actua","[""Mujeres""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Artekalea, 8-3º"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}",,,,,"[""Gernika""]",,,,,"MARINA CIFUENTES GARCIA"
"Ayuntamiento de Gernika-Lumo - Euskera","Normalización del uso del euskera en todos los ámbitos de la sociedad.​​","[""Población general"",""Cultura, ocio y naturaleza"",""Formación""]",,"946.270.200","euskera@gernika-lumo.eus","https://www.gernika-lumo-euskaraz.eus/euskara/jorra-tokiak","OTROS CORREOS: eusk.dinamizatzailea@gernika-lumo.eus     hnt2@gernika-lumo.eus","[""Gernika""]",,,,,"MARINA CIFUENTES GARCIA"
"Ayuntamiento de Gernika-Lumo - Cultura","Desarrollar y promover actividades culturales, científicas y artísticas, prestando especial atención a todas las manifestaciones de la cultura vasca.
Apoyar e impulsar las iniciativas culturales de los diferentes grupos locales, promoviendo la participaci","[""Cultura, ocio y naturaleza""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x12330637811515637552?setLang=es-ES"",""DisplayName"":""Gernika-Lumoko Kultur Etxea"",""Address"":{""Street"":""Foru plaza, 2"",""City"":""Guernica"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48300"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3152,""Longitude"":-2.67874}}","946.270.201","kultur-etxea@gernika-lumo.eus","https://www.gernika-lumo.eus/es-ES/Servicios/Cultura/Paginas/default.aspx",,"[""Gernika""]",,,,"Point (-2.67874 43.3152)","MARINA CIFUENTES GARCIA"
"Ayuntamiento de Gernika-Lumo - Turismo","Información","[""Cultura, ocio y naturaleza""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x521356115?setLang=es-ES"",""DisplayName"":""Gernika Turismo"",""Address"":{""Street"":""Artekalea 8, 48.300 Guernica"",""City"":""Gernika-Lumo"",""CountryOrRegion"":""ES"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3152,""Longitude"":-2.67822}}","946.255.892","turismo@gernika-lumo.eus","https://gernikainfo.eus/",,"[""Gernika""]",,,,"Point (-2.67822 43.3152)","MARINA CIFUENTES GARCIA"
"Ayuntamiento de Gernika-Lumo - Patronato municipal de deportes","Gestión de las instalaciones deportivas","[""Actividad física""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Carlos Gangoiti, 25 1º"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.270.045","kirolak@gernika-lumo.eus","https://www.gernika-lumo.eus/es-ES/Servicios/Deportivo/Paginas/default.aspx",,"[""Gernika""]",,,,,"MARINA CIFUENTES GARCIA"
"Ayuntamiento de Durango",,,"{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x522163518?setLang=es-ES"",""DisplayName"":""Ayuntamiento de Durango"",""Address"":{""Street"":""Calle Barren, 17"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1662,""Longitude"":-2.63148}}","946.030.000","durango@durango.eus","https://www.durango.eus/es/home",,"[""Durango""]",,,,"Point (-2.63148 43.1662)","CESAR ENRIQUE PINARGOTE GAVILANES"
"OKONDOKO HAURRESKOLA-AURORA MENDIETA",,,"{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x16784946482337359037?setLang=es-ES"",""DisplayName"":""Partzuergoko Haur Eskola Okondoko Haurreskola Aurora Mendieta"",""Address"":{""Street"":""Calle Irabien, 89, 01409 Irabien, Álava, Spain"",""City"":""Irabien"",""State"":""Vasconia"",""CountryOrRegion"":""ES"",""PostalCode"":""01409"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.153,""Longitude"":-3.0281}}","945.898.429","aurora.okondo@haurreskolak.eus",,,"[""Llodio""]",,,,"Point (-3.0281 43.153)","ANDREA ALVAREZ MARTINEZ"
"OROZKO HARANA",,,"{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Calle+de+Ibaiondo%2c+6&locality=Orozco&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48410&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Calle de Ibaiondo, 6"",""Address"":{""Street"":""Calle de Ibaiondo, 6"",""City"":""Orozco"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48410"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.339.615","014382aa@hezkuntza.net",,,"[""Llodio""]",,,,,"ANDREA ALVAREZ MARTINEZ"
"OROZKOKO HAURRESKOLA",,,"{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Untzueta+Kalea&locality=Orozco&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Untzueta Kalea"",""Address"":{""Street"":""Untzueta Kalea"",""City"":""Orozco"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.339.713","orozko.orozko@haurreskolak.eus",,,"[""Llodio""]",,,,,"ANDREA ALVAREZ MARTINEZ"
"URDUÑA",,,"{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x5282443562763733198?setLang=es-ES"",""DisplayName"":""Centro Orduña Haurreskola"",""Address"":{""Street"":""Barrio San Francisco 3"",""City"":""Orduña"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48460"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":42.9923,""Longitude"":-3.00981}}","945.383.504","014379aa@hezkuntza.net",,,"[""Aiara""]",,,,"Point (-3.00981 42.9923)","ANDREA ALVAREZ MARTINEZ"
"NTRA. SRA. DE LA ANTIGUA",,,"{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x13808695639219170032?setLang=es-ES"",""DisplayName"":""NTRA. SRA. DE LA ANTIGUA"",""Address"":{""Street"":""Plaza Foru 5"",""City"":""Orduña"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48460"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":42.9944,""Longitude"":-3.0095}}","945.384.830","nsantigua@alfaexpress.net",,,"[""Aiara""]",,,,"Point (-3.0095 42.9944)","ANDREA ALVAREZ MARTINEZ"
"URDUÑAKO HAURRESKOLA",,,"{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""nafarroa, 5, Orduña"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","945.383.346","urduna.urduna@haurreskolak.eus",,,"[""Aiara""]",,,,,"ANDREA ALVAREZ MARTINEZ"
"Ayuntamiento de Amurrio - Participación ciudadana",,"[""Población general""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Juan+de+Urrutia+Plaza&locality=Amurrio&subregion=%c3%81lava&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=01470&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Juan de Urrutia Plaza"",""Address"":{""Street"":""Juan de Urrutia Plaza"",""City"":""Amurrio"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""01470"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}",,"partehartzea@amurrio.org",,"Ext teléfono : 241","[""Aiara""]",,,,,"ANDREA ALVAREZ MARTINEZ"
"Ayuntamiento de Amurrio - Salud",,"[""Salud comunitaria""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Plaza+de+Juan+de+Urrutia&locality=Amurrio&subregion=%c3%81lava&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=01470&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Plaza de Juan de Urrutia"",""Address"":{""Street"":""Plaza de Juan de Urrutia"",""City"":""Amurrio"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""01470"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","945.891.161",,,,"[""Aiara""]",,,,,"ANDREA ALVAREZ MARTINEZ"
"Mancomunidad de Busturialdea - Inmigración","Recursos:
Ofrecer atención y orientación a la población inmigrante que llega a nuestra comarca.
Organizar actividades de sensibilizacion para impulsar la convivencia intercultural.","[""Personas en riesgo de exclusión social"",""Personas migrantes""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x521287152?setLang=es-ES"",""DisplayName"":""Mancomunidad De Servicios Sociales De Busturialdea"",""Address"":{""Street"":""C/ Alhóndiga, 6 - Bajo"",""City"":""Gernika-Lumo"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48300"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3121,""Longitude"":-2.67783}}","946.255.122",,"https://www.busturialdekomankomunitatea.org/es-ES/Paginas/default.aspx",,"[""Gernika"",""Gernikaldea""]",,,,"Point (-2.67783 43.3121)","MARINA CIFUENTES GARCIA"
"Mancomunidad de Busturialdea - Mujeres","Se han diseñado programas específicos para colectivos de mujeres en situación de vulnerabilidad y poder atender sus necesidades:
Recursos: 
Servicio de asesoría legal para mujeres
Atención a mujeres víctimas de violencia","[""Mujeres"",""Personas en riesgo de exclusión social""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x521287152?setLang=es-ES"",""DisplayName"":""Mancomunidad De Servicios Sociales De Busturialdea"",""Address"":{""Street"":""C/ Alhóndiga, 6 - Bajo"",""City"":""Gernika-Lumo"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48300"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3121,""Longitude"":-2.67783}}","946.255.122",,"https://www.busturialdekomankomunitatea.org/es-ES/Paginas/default.aspx",,"[""Gernika"",""Gernikaldea""]",,,,"Point (-2.67783 43.3121)","MARINA CIFUENTES GARCIA"
"Mancomunidad de Busturialdea - Personas mayores","Recursos:
Ayuda a domicilio
Servicio de teleasistencia
Solicitudes de valoración de dependencia","[""Personas Mayores"",""Personas en riesgo de exclusión social"",""Personas cuidadoras""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x521287152?setLang=es-ES"",""DisplayName"":""Mancomunidad De Servicios Sociales De Busturialdea"",""Address"":{""Street"":""C/ Alhóndiga, 6 - Bajo"",""City"":""Gernika-Lumo"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48300"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3121,""Longitude"":-2.67783}}","946.255.122",,"https://www.busturialdekomankomunitatea.org/es-ES/Paginas/default.aspx",,"[""Gernikaldea"",""Gernika""]",,,,"Point (-2.67783 43.3121)","MARINA CIFUENTES GARCIA"
"Mancomunidad de Busturialdea - Infancia y familia","Atención a niños, niñas y adolescentes en situación de riesgo social o desprotección, poniendo en marcha los recursos necesarios para respondera esta situación

Apoyo y orientación a familias con dificultades en la educación de sus hijos e hijas

Contamos","[""Infancia"",""Personas en riesgo de exclusión social""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x521287152?setLang=es-ES"",""DisplayName"":""Mancomunidad De Servicios Sociales De Busturialdea"",""Address"":{""Street"":""C/ Alhóndiga, 6 - Bajo"",""City"":""Gernika-Lumo"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48300"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3121,""Longitude"":-2.67783}}","946.255.122",,"https://www.busturialdekomankomunitatea.org/es-ES/Paginas/default.aspx",,"[""Gernika"",""Gernikaldea""]",,,,"Point (-2.67783 43.3121)","MARINA CIFUENTES GARCIA"
"Gernikako Sare Feminista","Red de mujeres de Gernika.","[""Mujeres""]",,,"sarefeministagernika@gmail.com",,,"[""Gernika""]",,,,,"MARINA CIFUENTES GARCIA"
"Astra","Astra es una herramienta compartida, un espacio autogestionado por la comunidad que le rodea. Tiene carácter abierto y cualquier persona puede organizar alguna actividad en Astra o participar en sus decisiones y gestión. Vamos a decir más aún, sin la part","[""Cultura, ocio y naturaleza"",""Población general""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x7003101471499784373?setLang=es-ES"",""DisplayName"":""Astra Gaztetxea"",""Address"":{""Street"":""Calle Goikoibarra, 1"",""City"":""Gernika-Lumo"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48300"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3124,""Longitude"":-2.67684}}",,"info@astragernika.net","https://astragernika.net/",,"[""Gernika""]",,,,"Point (-2.67684 43.3124)","MARINA CIFUENTES GARCIA"
